,Animal - Fold,"Accuracy","Precision","Recall","F-1 Score"
201,raccoon - 1,0.9278260869565217,0.9751908396946565,0.8795180722891566,0.9248868778280543
202,raccoon - 2,0.9051348999129678,0.9294532627865961,0.8842281879194631,0.9062768701633706
203,raccoon - 3,0.8938207136640557,0.9562737642585551,0.8355481727574751,0.8918439716312057
204,rat - 1,0.9490781387181738,0.9587813620071685,0.9385964912280702,0.948581560283688
205,rat - 2,0.926251097453907,0.9658886894075404,0.8922056384742952,0.9275862068965517
206,rat - 3,0.9218612818261633,0.9046875,0.9538714991762768,0.9286287089013633
207,reindeer - 1,0.9388646288209607,0.9717514124293786,0.9036777583187391,0.9364791288566243
208,reindeer - 2,0.8078602620087336,0.7385377942998761,0.9851239669421488,0.8441926345609065
209,reindeer - 3,0.9021834061135371,0.9071310116086235,0.9071310116086235,0.9071310116086235
210,rhinoceros - 1,0.8378615249780894,0.8856502242152466,0.7466918714555766,0.8102564102564102
211,rhinoceros - 2,0.9106047326906223,0.8707037643207856,0.9585585585585585,0.9125214408233276
212,rhinoceros - 3,0.9316389132340053,0.9198606271777003,0.9428571428571428,0.9312169312169312
213,sandpiper - 1,0.925569176882662,0.8799313893653516,0.9715909090909091,0.9234923492349234
214,sandpiper - 2,0.9299474605954466,0.8985024958402662,0.9660107334525939,0.9310344827586207
215,sandpiper - 3,0.936077057793345,0.9038142620232172,0.9732142857142857,0.937231298366294
216,seahorse - 1,0.8839441535776614,0.9651162790697675,0.7786116322701688,0.8618899273104882
217,seahorse - 2,0.9554585152838428,0.956989247311828,0.9518716577540107,0.9544235924932977
218,seahorse - 3,0.9572052401746725,0.9556737588652482,0.9573712255772646,0.9565217391304348
219,seal - 1,0.9016681299385426,0.8612521150592216,0.9443413729128015,0.9008849557522123
220,seal - 2,0.9068541300527241,0.8444444444444444,0.9851851851851852,0.9094017094017094
221,seal - 3,0.8585237258347979,0.7861271676300579,0.9766606822262118,0.8710968775020016
222,shark - 1,0.9165935030728709,0.8580645161290322,0.987012987012987,0.9180327868852459
223,shark - 2,0.953427065026362,0.9371633752244165,0.9666666666666667,0.951686417502279
224,shark - 3,0.9648506151142355,0.9591474245115453,0.9694793536804309,0.9642857142857143
225,sheep - 1,0.916010498687664,0.8756660746003553,0.9499036608863198,0.911275415896488
226,sheep - 2,0.8355205599300087,0.9303370786516854,0.7250437828371279,0.8149606299212598
227,sheep - 3,0.926509186351706,0.8838709677419355,0.9785714285714285,0.9288135593220339
228,snake - 1,0.9234828496042217,0.8781725888324873,0.9719101123595506,0.9226666666666667
229,snake - 2,0.9410729991204925,0.9233511586452763,0.955719557195572,0.9392565729827742
230,snake - 3,0.9226033421284081,0.9020618556701031,0.9442446043165468,0.9226713532513181
231,sparrow - 1,0.8537653239929948,0.7666174298375185,0.9829545454545454,0.8614107883817427
232,sparrow - 2,0.9457092819614711,0.9176470588235294,0.9767441860465116,0.9462738301559792
